# UI General & Window
ui.window_title|TunePerf - Intelligenter Linux-Systemoptimierer
ui.about_title|Über TunePerf
ui.about_ok|OK
ui.about_warning|Warnung
ui.about_error|Fehler
ui.about_success|Erfolg

# Sidebar Navigation & Root
ui.sidebar_welcome|Willkommen
ui.sidebar_role|Systemrolle
ui.sidebar_profile|Nutzungsprofil
ui.sidebar_policies|Richtlinien
ui.sidebar_editor|Parameter-Editor
ui.sidebar_optimization|Optimierung
ui.root_privileges|Root-Rechte
ui.active|Aktiv
ui.inactive|Inaktiv

# Wizard Bottom Buttons
ui.btn_back|Zurück
ui.btn_next|Weiter
ui.btn_apply|Optimierung anwenden
ui.btn_restore|Sicherung wiederherstellen
ui.btn_exit|Beenden
ui.btn_finish|Fertig

# Page 0: Welcome
ui.welcome_title|Willkommen bei TunePerf
ui.welcome_desc|TunePerf hilft Ihnen, die Leistung Ihres Linux-Systems zu optimieren, indem es automatisch Kernel-Parameter, Netzwerkpuffer, CPU-Scheduler und Energiesparmodi basierend auf der Systemrolle und Arbeitslast anpasst.
ui.welcome_start_desc|Bitte wählen Sie die Systemrolle aus, um zu beginnen.
ui.hardware_info|System-Hardware-Informationen
ui.hardware_cpu|CPU:
ui.hardware_mem|Speicher:
ui.hardware_kernel|Kernel:
ui.hardware_net|Netzwerkschnittstelle:

# Page 1: Role Selection
ui.role_title|Systemrolle auswählen
ui.role_desc|Wählen Sie die Hauptrolle dieses Computers. Dies konfiguriert die grundlegende Planung, virtuellen Speicher und Standard-Prozessprioritäten.
role.desktop.name|1) Laptop / Desktop
role.desktop.desc|Allgemeine Nutzung, leichtes Multimedia, Batterieoptimierungen
role.workstation.name|2) Arbeitsstation
role.workstation.desc|Kompilierung, Entwicklungslasten, Hosting von KI-Modellen, Containerisierung
role.gaming.name|3) Gaming-Maschine
role.gaming.desc|AAA-Gaming, Fokus auf wettbewerbsfähige niedrige Latenz, CPU-Tuning
role.server_light.name|4) Server (Leicht/Mittel)
role.server_light.desc|Nginx, Reverse-Proxies, Heim-NAS (Samba/NFS), gemischte leichte Aufgaben
role.server_heavy.name|5) Server (Hohe Last / DB)
role.server_heavy.desc|PostgreSQL-, MySQL/MariaDB-Datenbank-Hosts, Redis-, Elasticsearch-Caches
role.vm_guest.name|6) Virtueller Maschinen-Gast
role.vm_guest.desc|CI/CD-Runner, VM-Gast-Optimierungen, Sandbox-Container

# Page 2: Usage Profile
ui.usage_title|Nutzungsprofil auswählen
ui.usage_desc|Wählen Sie, wie Sie dieses System verwenden, um Netzwerk-Caching, TCP-Congestion-Algorithmen und Festplatten-Read-Ahead-Puffer zu optimieren.
usage.desktop.1.name|1) Web-Browsing und Büro
